Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161004,20161004,Exposure1,A1,Ambient,14.27,-48.9,,,
20161004,20161004,Exposure1,A2,Ambient,14.35,-50.2,,,
20161004,20161004,Exposure1,A3,Ambient,14.48,-48.6,,,
20161004,20161004,Exposure1,A4,Ambient,14.61,-50.1,,,
20161004,20161004,Exposure1,B1,Ambient,14.4,-28.7,,,
20161004,20161004,Exposure1,B2,Ambient,14.7,-29.3,,,
20161004,20161004,Exposure1,B3,Ambient,14.66,-30.1,,,
20161004,20161004,Exposure1,B4,Ambient,14.61,-29.3,,,
20161004,20161004,Exposure1,Header1,Ambient,14.96,-56.3,,,
20161004,20161004,Exposure1,Header2,Ambient,14.83,-33.2,,,
